YACIMIENTO_SEN,YAC_SEN,FORMACION,NOMBRE_CORTO,NOM_DE_ESTADO_TOW,NOMBRE_DE_ESTADO_TOW,Petroleo_Diario_m3,Petroleo_Mensual_m3,Petroleo_Acumulado_m3,Gas_Diario_m3,Gas_Mensual_m3,Gas_Acumulado_m3,Agua_diaria_m3,Agua_Mensual__m3,Agua_Acumulada__m3,TEF_de_Produccion_dias,TEF_de_Produccion_Acum,GOR
BELLA_VISTA,1,GRUPO_CHUBUT,BVad_571,Reserva_Recuperacion_Secundaria,RRS,NA,NA,1841.296,NA,NA,NA,NA,NA,36801.407,NA,38.56,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_148,Reserva_Recuperacion_Secundaria,RRS,NA,NA,2467.332,NA,NA,NA,NA,NA,671.239,NA,28.69,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_149,Abandono_Permanente,AP,NA,NA,1818,NA,NA,NA,NA,NA,121,NA,4.7,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_183,Abandono_Permanente,AP,NA,NA,5266,NA,NA,2079,NA,NA,33301,NA,67.1,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_29,Produciendo,P,0.937164199,28.606,53786.258,NA,NA,NA,53.31516184,1627.392,339155.358,30.524,252.56,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_308,A_Abandonar,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_395,Produciendo,P,0.693968319,20.284,19960.372,NA,NA,NA,38.21995279,1117.131,359713.996,29.229,264.21,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_396,Produciendo,P,1.546193548,47.932,36334.013,NA,NA,10187.769,41.64245161,1290.916,293305.169,31,259.98,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_397,Produciendo,P,NA,NA,28787.452,NA,NA,1719.085,NA,NA,65192.646,NA,247.07,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_41,A_Abandonar,AA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_412,Reserva_Recuperacion_Secundaria,RRS,NA,NA,11013.904,NA,NA,NA,NA,NA,221182.701,NA,158.04,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_413,Abandono_Permanente,AP,NA,NA,3961.696,NA,NA,NA,NA,NA,80109.421,NA,53.58,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_414,Abandono_Permanente,AP,NA,NA,18.767,NA,NA,NA,NA,NA,4.237,NA,0.23,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_419,Produciendo,P,2.376647773,73.379,18124.449,NA,NA,66.813,130.6869636,4034.96,865790.615,30.875,249.75,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_421,Produciendo,P,NA,NA,70497.156,NA,NA,2148.06,NA,NA,102909.444,NA,221.06,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_422,Produciendo,P,3.893118069,119.363,21725.207,NA,NA,NA,183.911546,5638.728,1280012.232,30.66,251.83,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_439,Produciendo,P,0.869974976,26.77,9839.708,NA,NA,NA,31.55734295,971.051,326545.257,30.771,218.93,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_485,Abandonado_Por_Razones_TecNIcas,APRT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_486,Reserva_Recuperacion_Secundaria,RRS,NA,NA,165.715,NA,NA,NA,NA,NA,51.356,NA,2.48,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_70,Reserva_Recuperacion_Secundaria,RRS,NA,NA,1480,NA,NA,3116,NA,NA,1581,NA,13.7,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVa_72,Abandono_Permanente,AP,NA,NA,2274,NA,NA,NA,NA,NA,2821,NA,7.1,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVd_546,Produciendo,P,1.815299054,55.815,4527.021,NA,NA,NA,8.455361499,259.977,39829.837,30.747,116.3,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVd_552,Produciendo,P,NA,NA,3542.301,NA,NA,NA,NA,NA,24470.251,NA,22.7,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BVd_553,Produciendo,P,9.243470908,284.209,333999.8,114.2064917,3511.507,1816205.421,172.4747455,5303.081,399508.808,30.747,127.68,12.35536876
BELLA_VISTA,1,GRUPO_CHUBUT,BVSx_1,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_1,Abandono_Permanente,AP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_102,Reserva_Recuperacion_Secundaria,RRS,NA,NA,43300.606,NA,NA,9882.853,NA,NA,84731.687,NA,388.75,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_103,Produciendo,P,NA,NA,34514.299,NA,NA,41241.309,NA,NA,162938.397,NA,216.44,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_104,Reserva_Recuperacion_Secundaria,RRS,NA,NA,8672.627,NA,NA,NA,NA,NA,347686.069,NA,80.39,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_105,Reserva_Recuperacion_Secundaria,RRS,NA,NA,41352.18,NA,NA,40866.681,NA,NA,696875.577,NA,311.02,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_106,Reserva_Recuperacion_Secundaria,RRS,NA,NA,14867,NA,NA,18282,NA,NA,32890,NA,138,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_107,Produciendo,P,1.261366497,25.052,43022.014,NA,NA,23227.687,45.86118524,910.849,449290.223,19.861,440.19,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_108,Reserva_Recuperacion_Secundaria,RRS,NA,NA,3518,NA,NA,NA,NA,NA,20027,NA,74.6,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_109,Espera_Equipo_Reparacion,EER,NA,NA,73497.053,NA,NA,97003.031,NA,NA,1649487.744,NA,423.4,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_110,Reserva_Recuperacion_Secundaria,RRS,NA,NA,30198,NA,NA,845817,NA,NA,34888,NA,34.4,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_111,Produciendo,P,1.88776738,56.482,54572.376,NA,NA,85519.785,103.8008356,3105.721,837322.492,29.92,416.44,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_112,Reserva_Recuperacion_Secundaria,RRS,NA,NA,16086,NA,NA,66528,NA,NA,217878,NA,143.1,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_113,A_Abandonar,AA,NA,NA,1686,NA,NA,NA,NA,NA,12301,NA,18.4,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_114,Reserva_Recuperacion_Secundaria,RRS,NA,NA,26705.528,NA,NA,NA,NA,NA,640391.842,NA,226.48,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_115,Produciendo,P,0.990321161,24.761,31156.535,NA,NA,125294.788,76.92260929,1923.296,1286886.112,25.003,412.71,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_116,Reserva_Recuperacion_Secundaria,RRS,NA,NA,12322,NA,NA,NA,NA,NA,78784,NA,36,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_117,En_Estudio,EE,NA,NA,37622,NA,NA,62694,NA,NA,206963,NA,123.4,NA
BELLA_VISTA,1,GRUPO_CHUBUT,BV_118,Reserva_Recuperacion_Secundaria,RRS,NA,NA,43897.5,NA,NA,55174.114,NA,NA,200841.123,NA,332.19,NA
